condition,train_size,model,parameter_count,seed_count,fit_transition_count,positive_axis_nmse_mean,positive_axis_nmse_std,negative_axis_nmse_mean,negative_axis_nmse_std,positive_joint_nmse_mean,positive_joint_nmse_std,negative_joint_nmse_mean,negative_joint_nmse_std,mixed_joint_nmse_mean,mixed_joint_nmse_std,negative_axis_control_error_mean,negative_axis_control_error_std,positive_joint_control_error_mean,positive_joint_control_error_std,mixed_joint_control_error_mean,mixed_joint_control_error_std,negative_axis_control_success_mean,negative_axis_control_success_std,positive_joint_control_success_mean,positive_joint_control_success_std,mixed_joint_control_success_mean,mixed_joint_control_success_std
axis_only,2000,first_order,5000,3,1600,0.00038178566804466146,2.942375986946395e-06,0.025925469274322193,9.47787764274525e-05,0.0013893658760935068,4.886874459059863e-05,0.03154020383954048,9.455394052724264e-05,0.009875171507398287,0.00021862018273188227,0.01308005009478721,0.00041850313129795615,0.008156185592168992,9.360031444487193e-05,0.008894724017914591,0.00010940987549618253,0.7977430555555555,0.01857720013804919,1.0,0.0,0.9982638888888888,0.002455231879119974
axis_only,2000,free,4868,3,1600,0.000388685545961683,2.997825420931305e-05,0.026797692601879437,0.002289827942861295,0.0017021949558208387,0.00019793318314797686,0.03355405293405056,0.004265444127070865,0.010128154108921686,0.0007404189511979139,0.013491596888747558,0.002449050114666224,0.008062554910591442,0.00023233221294582262,0.009433449197078718,0.000263979782373956,0.7578125,0.07266822755714011,1.0,0.0,0.9800347222222223,0.00859331157691983
axis_plus_10pct_joint,200,corrected,5780,3,160,0.00024212547092853734,1.7672998702122452e-05,0.005927881691604853,0.0008621769577036239,0.0003101289670060699,8.033590251535152e-05,0.005199133263279994,0.0008300444539726139,0.003294614997381965,0.0003312906082561541,0.008315850855878023,0.00083914785542891,0.007845214910856964,0.00012612653548774077,0.008001259167940589,0.00018583584010429627,0.9392361111111112,0.021298340531918935,1.0,0.0,0.9930555555555557,0.003247966481574605
axis_plus_10pct_joint,200,first_order,5000,3,160,0.0005933364348796507,7.878179064812788e-05,0.026527130976319313,0.000361739302013982,0.0012252375405902665,0.00013283882832213677,0.03354081263144811,0.000514934196113377,0.009313876430193583,0.00025356354047794923,0.013427208587624287,0.0002747706822414606,0.008378801268311994,0.00014007882263554098,0.00889813566674194,9.525166504880395e-05,0.8116319444444445,0.008593311576919817,1.0,0.0,0.998263888888889,0.001227615939559961
axis_plus_10pct_joint,200,free,4868,3,160,0.0006250160707471272,4.470830158438639e-05,0.028251773367325466,0.002174174921469105,0.0013522876348967354,0.00037443469721719846,0.032842034474015236,0.0019432852172602156,0.011126109398901463,0.001792251300411178,0.014491872756884225,0.00020185593131708874,0.00819078272858557,0.00010779907532084756,0.010107642013786567,0.00036197946433171534,0.7664930555555555,0.012276159395599767,1.0,0.0,0.9678819444444445,0.004426232216660428
axis_plus_10pct_joint,500,corrected,5780,3,400,0.00016082018555607647,2.2894082047413366e-05,0.004507679957896471,0.0008127125535842502,0.00017823350693409642,2.206384470293181e-05,0.004032910723860065,0.0006107757090048609,0.002282539460187157,0.000487430298077544,0.007114179440476517,0.00102712671157365,0.007628793761088875,8.003937342040613e-05,0.0076202733180252835,0.00013606654804673634,0.9505208333333334,0.029539408901342976,1.0,0.0,0.9991319444444445,0.0012276159395599607
axis_plus_10pct_joint,500,first_order,5000,3,400,0.00048005680825250846,1.9400245318583817e-05,0.026388688012957573,0.00013145157885318325,0.0011413343405971925,4.16503507292381e-05,0.03271074220538139,0.00019655537556257697,0.009563609957695007,0.00018942342132967986,0.013647040661453502,0.0002500027023027385,0.008204476714632215,6.78822466490655e-05,0.00900405793072423,8.04088208990595e-05,0.8003472222222222,0.007467296238752311,1.0,0.0,0.9939236111111112,0.0044262322166603914
axis_plus_10pct_joint,500,free,4868,3,400,0.0004800491830489288,7.080174831827512e-05,0.028688563033938408,0.004504833413732517,0.0011753448052331805,0.00016097953508029906,0.03416766785085201,0.006751139014809234,0.010608205571770668,0.0010184548296870133,0.01400315471962838,0.0010535651906738977,0.00815129765558393,0.0002224537416651661,0.009526426142353253,0.0004662025172566257,0.767361111111111,0.02389913176725034,1.0,0.0,0.984375,0.00562564296736794
axis_plus_10pct_joint,1000,corrected,5780,3,800,0.00012485311162890866,7.5932396916265135e-06,0.0035142661072313786,0.00035326262323083816,0.00012971792360379672,1.3705621129206455e-05,0.003260694599399964,0.0001501270012299522,0.001683634240180254,0.00027187497507914836,0.006224161129365611,0.0006227555403314791,0.007607235396183872,7.632617383732342e-05,0.007724576529047529,0.00016390562030696988,0.974826388888889,0.01567315111568386,1.0,0.0,0.9991319444444445,0.0012276159395599607
axis_plus_10pct_joint,1000,first_order,5000,3,800,0.0004453262663446367,8.840265053750664e-06,0.026376941551764805,0.0001144072983117764,0.001125597666638593,2.469250335331263e-05,0.03255284205079079,5.1004202425642154e-05,0.009645721564690271,0.00010756109439222805,0.013601697740846753,0.0003907753515111515,0.008158524891769048,0.00015305504743116978,0.008969839813491691,9.975252932089292e-05,0.810763888888889,0.01567315111568386,1.0,0.0,0.993923611111111,0.001227615939559961
