condition,diagonal_fraction,seed,train_size,fit_transition_count,model,parameter_count,q_bin_coverage,observed_joint_action_count,best_epoch,validation_mse,positive_axis_nmse,negative_axis_nmse,positive_joint_nmse,negative_joint_nmse,mixed_joint_nmse,negative_axis_control_error,negative_axis_control_success,negative_axis_action_error,positive_joint_control_error,positive_joint_control_success,positive_joint_action_error,mixed_joint_control_error,mixed_joint_control_success,mixed_joint_action_error
axis_only,0.0,2,200,160,free,4868,0.3611111111111111,0,899,5.267489996185759e-06,0.0005644699558615685,0.03557349368929863,0.0022883727215230465,0.04906829819083214,0.010987754911184311,0.016336541187532323,0.7083333333333334,0.020493813055509236,0.008722596096049529,0.9895833333333334,0.010472563223636225,0.009253660163570506,0.96875,0.009519744180376877
axis_only,0.0,2,200,160,first_order,5000,0.3611111111111111,0,899,5.043155397288501e-06,0.00045676459558308125,0.026174545288085938,0.0013426749501377344,0.031216077506542206,0.01030989084392786,0.013250631796230058,0.7942708333333334,0.017589470495295245,0.008200289223168511,1.0,0.009783154646546147,0.008948667069489602,0.9895833333333334,0.010303305630401077
axis_only,0.0,2,200,160,corrected,5780,0.3611111111111111,0,899,2.2754506971978117e-06,0.00016423243505414575,0.004033694975078106,0.0017640573205426335,0.0077536762692034245,0.005186929367482662,0.0077187958935004035,0.9635416666666666,0.00786021183982181,0.008017830036502952,1.0,0.009778556317732424,0.008131352986917287,1.0,0.009252342248159132
axis_only,0.0,2,500,400,free,4868,0.6180555555555556,0,880,3.4785521165758837e-06,0.00041963442345149815,0.028977664187550545,0.0019673416391015053,0.03400207683444023,0.013569737784564495,0.013796072776434206,0.7838541666666666,0.015269893151222883,0.008191851896602506,1.0,0.009819626827028959,0.010240471887906702,0.9322916666666666,0.010982957455791212
axis_only,0.0,2,500,400,first_order,5000,0.6180555555555556,0,899,3.2451075639983173e-06,0.0004043593944516033,0.02621384710073471,0.001373696024529636,0.03150326758623123,0.010215004906058311,0.012953738723202454,0.8046875,0.016476442894296877,0.008092831337611036,1.0,0.009625071629058717,0.00892594619654119,0.9947916666666666,0.010079227118593258
axis_only,0.0,2,500,400,corrected,5780,0.6180555555555556,0,899,1.9546773728507105e-06,0.00019914712174795568,0.0056217084638774395,0.0018928589997813106,0.008722998201847076,0.00654651690274477,0.00831026743677891,0.9036458333333334,0.00719879730362057,0.00830704543235091,1.0,0.009550140899638206,0.00916830279311398,0.953125,0.008804094172701971
axis_only,0.0,2,1000,800,free,4868,0.8680555555555556,0,860,3.5734526591113536e-06,0.00045283898361958563,0.030908329412341118,0.001928656711243093,0.04125424101948738,0.009693273343145847,0.015075682675160351,0.7552083333333334,0.01770494306886879,0.008097448922247471,1.0,0.009282585544182867,0.009696914714974506,0.9869791666666666,0.01013987364059836
axis_only,0.0,2,1000,800,first_order,5000,0.8680555555555556,0,899,3.1525328267889563e-06,0.0003980819892603904,0.025723818689584732,0.0014412497403100133,0.031150950118899345,0.00992598943412304,0.012661553187475269,0.8046875,0.015497548891289625,0.008137186610838398,1.0,0.009149498875587069,0.009008957698824815,0.9947916666666666,0.009794339589503811
axis_only,0.0,2,1000,800,corrected,5780,0.8680555555555556,0,899,6.968696766307403e-07,7.569110312033445e-05,0.0018622202333062887,0.0020278815645724535,0.0051579964347183704,0.005677828099578619,0.005073988454872354,0.9973958333333334,0.00454152024758514,0.008136068635697788,1.0,0.009528521216682614,0.007960067747868985,0.9973958333333334,0.00863250576259269
axis_only,0.0,2,2000,1600,free,4868,1.0,0,860,2.528382083255565e-06,0.000349267793353647,0.023915112018585205,0.001442945096641779,0.02897060103714466,0.009457536973059177,0.013213693287373948,0.7682291666666666,0.015306344714190345,0.008158727408347962,1.0,0.00935293347292722,0.009060628447817484,0.9739583333333334,0.00931376272220213
axis_only,0.0,2,2000,1600,first_order,5000,1.0,0,899,2.7614296413958073e-06,0.0003780755796469748,0.026057414710521698,0.0013912864960730076,0.03148733824491501,0.010095486417412758,0.0131400913996913,0.7786458333333334,0.016430485503709253,0.008276796079978036,1.0,0.009459592143366953,0.009003420782391913,0.9947916666666666,0.010016187029565535
axis_only,0.0,2,2000,1600,corrected,5780,1.0,0,899,1.0457652024342678e-06,0.00011485370487207547,0.0037139684427529573,0.0018635342130437493,0.007056739646941423,0.006012719590216875,0.006309709115157602,0.9635416666666666,0.005735021540507053,0.008185484519344755,1.0,0.009480273604370124,0.008246230747317895,0.9947916666666666,0.008164469762977735
