seed,train_size,model,parameter_count,q_bin_coverage,best_epoch,validation_mse,positive_nmse,negative_nmse,scaled_positive_nmse,scaled_negative_nmse,positive_control_error,negative_control_error,positive_control_success,negative_control_success,positive_action_mae,negative_action_mae
1,50,free,4546,0.9444444444444444,550,2.497044079063926e-06,0.00024211264098994434,0.02654576487839222,0.0077977729961276054,0.06025296449661255,0.0003216021179840804,0.00204706662755072,0.94921875,0.4713541666666667,0.00032161482037433114,0.0020470755068042004
1,50,first_order,4482,0.9444444444444444,375,2.4344897155970102e-06,0.00023728272935841233,0.026450350880622864,0.007591488771140575,0.05999603867530823,0.0003185678735585877,0.0014367962543910078,0.9700520833333334,0.4446614583333333,0.00031857209008497495,0.001436787982432482
1,50,corrected,4612,0.9444444444444444,1199,2.170006574431227e-08,2.0900226900266716e-06,0.00021203860524110496,0.00013687506725545973,0.0010222357232123613,0.00010599374987900016,0.0007275890872856886,1.0,0.70703125,0.00010599018908881892,0.0007275908598482298
1,100,free,4546,1.0,1025,2.2469771465694066e-06,0.00021840243425685912,0.02600211277604103,0.007310106884688139,0.05867551267147064,0.00014354511001594497,0.0011643248354692066,1.0,0.6165364583333334,0.00014353689039126039,0.0011643219719796132
1,100,first_order,4482,1.0,1199,2.2976250875217374e-06,0.00022412269026972353,0.026569709181785583,0.0075096250511705875,0.060179103165864944,0.00013386556576833186,0.0014341099909339998,1.0,0.4518229166666667,0.00013386565600133812,0.0014341132045956329
1,100,corrected,4612,1.0,1199,3.646076152108435e-08,3.2345631097996375e-06,0.00017431788728572428,0.00013829811359755695,0.0009005033643916249,0.00013394793258806695,0.0006454946767651867,1.0,0.7395833333333334,0.00013393732660915703,0.0006454883938810477
1,200,free,4546,1.0,1100,2.1664995983883273e-06,0.00021510841907002032,0.02565838024020195,0.007424054201692343,0.05825667455792427,0.0001649730979333223,0.0015222645917631894,1.0,0.4375,0.0001649735301422576,0.001522264533074728
1,200,first_order,4482,1.0,700,2.216801703980309e-06,0.00021962022583466023,0.02630046382546425,0.007640111725777388,0.059780314564704895,0.00014119529507894413,0.0014276001959837952,1.0,0.453125,0.0001411928460584022,0.0014276024279145834
1,200,corrected,4612,1.0,1199,3.436274553791918e-08,3.163740984746255e-06,0.0003086430369876325,9.739623055793345e-05,0.001416628947481513,0.00011068142926736375,0.0011803337156379712,1.0,0.5078125,0.00011067654122598469,0.001180337232653983
1,500,free,4546,1.0,950,2.0874535948678385e-06,0.000209507838007994,0.024912642315030098,0.007289179600775242,0.056765031069517136,0.0001367944627403972,0.001526540356117323,1.0,0.4641927083333333,0.00013680119930844134,0.0015265490922805232
1,500,first_order,4482,1.0,1199,2.2121491838333895e-06,0.0002239081950392574,0.02613387256860733,0.007729656063020229,0.059528250247240067,0.00011395464842204699,0.001409500947734917,1.0,0.4680989583333333,0.00011395562129716079,0.001409504143036126
1,500,corrected,4612,1.0,1199,2.1276248318713442e-08,2.0433949430298526e-06,0.0001805252832127735,0.00011321157217025757,0.0010064197704195976,0.00010784287668978247,0.0008824619022540503,1.0,0.6184895833333334,0.00010783613349000613,0.0008824677109563103
1,1000,free,4546,1.0,950,2.07969787879847e-06,0.00020824499370064586,0.02545330300927162,0.007223938591778278,0.05805601924657822,0.00012768550817080873,0.0021213492350208676,1.0,0.2786458333333333,0.00012769809109158814,0.002121353415229047
1,1000,first_order,4482,1.0,1199,2.184051936637843e-06,0.0002182001044275239,0.026339102536439896,0.0076184081844985485,0.05983870476484299,0.00012920211875903456,0.0014243436260888605,1.0,0.45703125,0.00012920176232000813,0.0014243476083114122
1,1000,corrected,4612,1.0,1199,2.594919479292912e-08,2.335572844458511e-06,0.0002274324797326699,9.216427861247212e-05,0.0012001015711575747,9.928924326156145e-05,0.0011054650272560214,1.0,0.54296875,9.928963117999956e-05,0.0011054672625808355
2,50,free,4546,0.9722222222222222,900,2.264172280774801e-06,0.00022752268705517054,0.026280954480171204,0.007454756181687117,0.059750769287347794,0.0002181891230132275,0.0019571099834247243,1.0,0.4231770833333333,0.0002181817932675282,0.001957113022702591
2,50,first_order,4482,0.9722222222222222,1199,2.409044327578158e-06,0.00023792043793946505,0.026340477168560028,0.007648294325917959,0.059831906110048294,0.00016268940779203453,0.0014343719955907848,1.0,0.4479166666666667,0.00016268893523374572,0.0014343740622280166
2,50,corrected,4612,0.9722222222222222,1199,5.852910334169792e-08,5.669542588293552e-06,0.0004547173448372632,0.0002448356826789677,0.001400142558850348,0.00015187670599559056,0.0007247429915212914,1.0,0.7272135416666666,0.0001518705660904137,0.0007247391016183732
2,100,free,4546,1.0,1199,2.2325780264509376e-06,0.00022554870520252734,0.025950860232114792,0.007666370831429958,0.05897428095340729,0.00020860912880256896,0.0017312922116291911,1.0,0.5325520833333334,0.0002086063711127887,0.0017312969769894455
2,100,first_order,4482,1.0,875,2.2958060981181916e-06,0.00023000889632385224,0.026024578139185905,0.007795307785272598,0.05936319753527641,0.0001253669786744164,0.001415357965546112,1.0,0.4596354166666667,0.000125366474094335,0.0014153631248821814
2,100,corrected,4612,1.0,1199,3.316770857964002e-08,3.1147587833402213e-06,0.00033834661007858813,9.995231084758416e-05,0.0014979165280237794,0.0001343672989122524,0.001219571221864631,1.0,0.5423177083333334,0.00013436300650937483,0.0012195651191480768
2,200,free,4546,1.0,1199,2.174681185351801e-06,0.00021967363136354834,0.02663477510213852,0.007530797738581896,0.06053778529167175,0.00018565257783838737,0.0018625128970081544,1.0,0.4440104166666667,0.00018564124911790714,0.0018625110703093621
2,200,first_order,4482,1.0,1199,2.1751184249296784e-06,0.00022046944650355726,0.026437267661094666,0.007571538910269737,0.059983544051647186,0.00014577184279810732,0.0014264302869738306,1.0,0.4557291666666667,0.0001457737962482497,0.001426430916277847
2,200,corrected,4612,1.0,1199,1.4490090016749946e-08,1.3941364613856422e-06,0.00015167034871410578,0.00010904721420956776,0.0009269526344724,0.00011141192829811075,0.0008371099059054643,1.0,0.6516927083333334,0.00011139989995475237,0.0008371075358202992
2,500,free,4546,1.0,1199,2.128452479155385e-06,0.00021506538905669004,0.025914788246154785,0.007572283037006855,0.05894136056303978,9.855886919159691e-05,0.0013714792473370114,1.0,0.4596354166666667,9.855574171524495e-05,0.0013714832384721376
2,500,first_order,4482,1.0,1199,2.1456455669977004e-06,0.000217328270082362,0.026231911033391953,0.007670639548450708,0.05967838689684868,8.844421702155121e-05,0.0014174427913360432,1.0,0.4641927083333333,8.844684149759512e-05,0.0014174465322867036
2,500,corrected,4612,1.0,1199,1.5722591228950478e-08,1.541817027828074e-06,0.000206236814847216,0.00011000973609043285,0.0010810387320816517,0.00010409877963487209,0.000934926452708614,1.0,0.6302083333333334,0.00010409616273439799,0.0009349182364530861
2,1000,free,4546,1.0,1199,2.0610043520719046e-06,0.00020840554498136044,0.02549770660698414,0.007299149874597788,0.05809308588504791,9.964329389807365e-05,0.0019678302444958717,1.0,0.318359375,9.96558277014022e-05,0.00196783768478781
2,1000,first_order,4482,1.0,1199,2.140694505214924e-06,0.00021689962886739522,0.026311345398426056,0.007630056235939264,0.05979745835065842,8.052681673712907e-05,0.0014221305342327166,1.0,0.4661458333333333,8.052776684053242e-05,0.0014221338836553816
2,1000,corrected,4612,1.0,1199,1.0566176378290493e-08,1.0100854979100404e-06,0.0001711248914944008,9.201384818879887e-05,0.001036565168760717,8.637956241249374e-05,0.0010061144931654553,1.0,0.5618489583333334,8.637558009165029e-05,0.0010061184924173479
3,50,free,4546,1.0,1175,2.171417463614489e-06,0.00021935897530056536,0.02598027139902115,0.007508232723921537,0.05872848629951477,0.00014325939894751136,0.0009334359297253533,1.0,0.6692708333333334,0.00014326492479691902,0.0009334391070296988
3,50,first_order,4482,1.0,1199,2.2148346943140496e-06,0.000223275987082161,0.026371801272034645,0.007608061656355858,0.05988357216119766,0.00013768702139908365,0.0014234325812670552,1.0,0.455078125,0.00013768893889694786,0.0014234362752176821
3,50,corrected,4612,1.0,1199,1.5983735224267548e-08,1.4911673815731774e-06,0.0002568051277194172,9.203826630255207e-05,0.0012804100988432765,9.222360466173048e-05,0.0011199142456916888,1.0,0.5494791666666666,9.221118671121076e-05,0.001119920479444166
3,100,free,4546,1.0,1199,2.2380306745617418e-06,0.00022608117433264852,0.026583191007375717,0.0076339999213814735,0.06049611419439316,0.00018234620483070785,0.0018248636603649022,1.0,0.3509114583333333,0.00018235042322582254,0.0018248684452070545
3,100,first_order,4482,1.0,1199,2.266199089717702e-06,0.0002279863110743463,0.026310384273529053,0.007647562772035599,0.059790872037410736,0.0001535741169125989,0.001426820199450655,1.0,0.453125,0.0001535742218644979,0.0014268217952727962
3,100,corrected,4612,1.0,1199,2.3308913910113915e-08,2.1648181700584246e-06,0.00011622441525105387,0.00015052071830723435,0.000702584336977452,0.00014941336194359187,0.0004883323988605545,1.0,0.84375,0.00014939757723671696,0.0004883266713780662
3,200,free,4546,1.0,900,2.174791916331742e-06,0.00021825027943123132,0.02566465549170971,0.007518112659454346,0.05841556563973427,0.00018189496923071147,0.001724295870187594,1.0,0.39453125,0.0001818893627690462,0.0017242894440035645
